noise_rate,pattern_index,trial_index,trial_seed,initial_hamming_distance,final_hamming_distance,exact_recall,converged,sweeps
0.2,1,4,2021986,20,0,True,True,2
0.2,1,5,2021987,20,0,True,True,2
0.2,1,6,2021988,20,0,True,True,2
0.2,1,7,2021989,20,0,True,True,2
0.2,1,8,2021990,20,0,True,True,2
0.2,1,9,2021991,20,0,True,True,2
0.2,1,10,2021992,20,0,True,True,2
0.2,1,11,2021993,20,0,True,True,2
0.2,1,12,2021994,20,0,True,True,2
0.2,1,13,2021995,20,0,True,True,2
0.2,1,14,2021996,20,0,True,True,2
0.2,1,15,2021997,20,0,True,True,2
0.2,1,16,2021998,20,0,True,True,2
0.2,1,17,2021999,20,0,True,True,2
0.2,1,18,2022000,20,0,True,True,2
0.2,1,19,2022001,20,0,True,True,2
0.2,2,0,2031982,20,0,True,True,2
0.2,2,1,2031983,20,0,True,True,2
0.2,2,2,2031984,20,0,True,True,2
0.2,2,3,2031985,20,0,True,True,2
0.2,2,4,2031986,20,0,True,True,2
0.2,2,5,2031987,20,0,True,True,2
0.2,2,6,2031988,20,0,True,True,2
0.2,2,7,2031989,20,0,True,True,2
0.2,2,8,2031990,20,0,True,True,2
0.2,2,9,2031991,20,0,True,True,2
0.2,2,10,2031992,20,0,True,True,2
0.2,2,11,2031993,20,0,True,True,2
0.2,2,12,2031994,20,0,True,True,2
0.2,2,13,2031995,20,0,True,True,2
0.2,2,14,2031996,20,0,True,True,2
0.2,2,15,2031997,20,0,True,True,2
0.2,2,16,2031998,20,0,True,True,2
0.2,2,17,2031999,20,0,True,True,2
0.2,2,18,2032000,20,0,True,True,2
0.2,2,19,2032001,20,0,True,True,2
0.2,3,0,2041982,20,0,True,True,2
0.2,3,1,2041983,20,0,True,True,2
0.2,3,2,2041984,20,0,True,True,2
0.2,3,3,2041985,20,0,True,True,2
0.2,3,4,2041986,20,0,True,True,2
0.2,3,5,2041987,20,0,True,True,2
0.2,3,6,2041988,20,0,True,True,2
0.2,3,7,2041989,20,0,True,True,2
0.2,3,8,2041990,20,0,True,True,2
0.2,3,9,2041991,20,0,True,True,2
0.2,3,10,2041992,20,0,True,True,2
0.2,3,11,2041993,20,0,True,True,2
0.2,3,12,2041994,20,0,True,True,2
0.2,3,13,2041995,20,0,True,True,2
0.2,3,14,2041996,20,0,True,True,2
0.2,3,15,2041997,20,0,True,True,2
0.2,3,16,2041998,20,0,True,True,2
0.2,3,17,2041999,20,0,True,True,2
0.2,3,18,2042000,20,0,True,True,2
0.2,3,19,2042001,20,0,True,True,2
0.2,4,0,2051982,20,0,True,True,2
0.2,4,1,2051983,20,0,True,True,2
0.2,4,2,2051984,20,0,True,True,2
0.2,4,3,2051985,20,0,True,True,2
0.2,4,4,2051986,20,0,True,True,2
0.2,4,5,2051987,20,0,True,True,2
0.2,4,6,2051988,20,0,True,True,2
0.2,4,7,2051989,20,0,True,True,2
0.2,4,8,2051990,20,0,True,True,2
0.2,4,9,2051991,20,0,True,True,2
0.2,4,10,2051992,20,0,True,True,2
0.2,4,11,2051993,20,0,True,True,2
0.2,4,12,2051994,20,0,True,True,2
0.2,4,13,2051995,20,0,True,True,2
0.2,4,14,2051996,20,0,True,True,2
0.2,4,15,2051997,20,0,True,True,2
0.2,4,16,2051998,20,0,True,True,2
0.2,4,17,2051999,20,0,True,True,2
0.2,4,18,2052000,20,0,True,True,2
0.2,4,19,2052001,20,0,True,True,2
